Date,Open,High,Low,Close,Vol
2012-09-06,996.19,1006.44,984.46,999.74,1124666
2012-09-07,1006.75,1048.90,1003.89,1030.40,2193534
2012-09-10,1030.23,1040.34,1025.08,1040.09,1288684
2012-09-11,1037.40,1051.32,1028.74,1051.28,1329170
2012-09-12,1053.57,1065.72,1047.17,1054.02,1309864
2012-09-13,1054.14,1054.82,1037.47,1037.66,878508
2012-09-14,1045.38,1047.87,1025.04,1031.85,1025648
2012-09-17,1027.47,1029.94,999.69,1000.42,1106360
2012-09-18,996.97,1009.31,994.08,998.77,775264
2012-09-19,1000.53,1010.41,999.09,1007.70,662545
2012-09-20,1006.04,1006.31,984.47,987.39,1072130
2012-09-21,982.94,990.90,971.22,973.66,1288770
2012-09-24,971.21,991.18,968.05,987.24,829990
2012-09-25,985.60,989.38,979.21,982.52,329471
2012-09-26,986.52,991.12,960.92,966.20,831635
2012-09-27,965.29,991.88,965.16,987.15,988637
2012-09-28,982.36,1031.95,976.93,1027.90,1651333
2012-10-08,1030.46,1033.51,1012.06,1017.74,1047389
2012-10-09,1018.57,1042.03,1018.21,1042.03,1386596
2012-10-10,1039.81,1054.60,1034.64,1051.51,1465862
2012-10-11,1048.22,1049.46,1036.96,1037.50,968129
2012-10-12,1040.65,1052.54,1023.61,1028.51,1140149
2012-10-15,1028.41,1033.95,1013.57,1023.95,724179
2012-10-16,1024.09,1033.61,1016.98,1022.40,804562
2012-10-17,1025.58,1030.77,1013.83,1029.17,907122
2012-10-18,1030.93,1054.39,1029.83,1052.62,1385268
2012-10-19,1053.55,1053.57,1045.81,1050.41,801046
2012-10-22,1046.34,1063.56,1045.84,1061.61,1227039
2012-10-23,1061.44,1065.42,1047.19,1048.90,929394
2012-10-24,1042.01,1049.00,1036.76,1038.31,961517
2012-10-25,1034.67,1034.67,1017.30,1018.56,858946
2012-10-26,1016.48,1016.48,990.64,998.75,955265
2012-10-29,992.51,1005.65,989.82,1004.50,624077
2012-10-30,1004.07,1009.58,991.26,993.20,747046
2012-10-31,990.45,998.80,983.28,993.65,892318
2012-11-01,992.54,1015.48,992.51,1011.65,997655
2012-11-02,1012.44,1014.22,1005.53,1011.65,688820
2012-11-05,1009.53,1013.11,997.41,1002.04,629225
2012-11-06,1001.23,1004.87,988.22,999.62,568292
2012-11-07,999.52,1002.18,990.66,995.59,461451
2012-11-08,988.09,990.07,978.55,979.00,543363
2012-11-09,977.59,986.74,977.03,982.00,495503
2012-11-12,984.73,986.95,967.06,969.15,664130
2012-11-13,968.94,968.94,937.53,943.67,1142166
2012-11-14,941.49,942.23,927.49,938.56,625446
2012-11-15,935.07,935.79,916.89,919.84,580446
2012-11-16,918.39,918.39,903.55,913.35,603599
2012-11-19,910.38,910.88,895.81,906.68,532198
2012-11-20,909.67,910.86,896.29,897.15,488994
2012-11-21,897.60,903.65,884.80,901.46,643671
2012-11-22,897.28,897.28,888.40,891.12,489863
2012-11-23,893.39,900.03,891.16,895.91,480477
2012-11-26,895.06,897.98,887.47,887.89,381574
2012-11-27,885.84,886.05,861.89,863.30,584358
2012-11-28,859.27,860.85,836.13,842.15,740578
2012-11-29,841.49,846.28,833.68,836.94,433951
2012-11-30,835.41,845.00,834.20,843.60,542611
2012-12-03,843.51,847.56,826.04,828.74,546693
2012-12-04,826.89,841.21,821.15,840.27,620469
2012-12-05,838.65,875.13,835.96,869.00,1343257
2012-12-06,869.17,873.61,862.40,866.71,790528
2012-12-07,867.14,886.68,862.45,886.68,1141685
2012-12-10,888.27,900.58,885.44,899.71,1511759
2012-12-11,897.68,897.68,889.26,889.44,1068336
2012-12-12,888.61,894.14,880.33,888.58,768118
2012-12-13,887.07,887.20,872.78,873.53,1008493
2012-12-14,871.96,914.93,871.96,914.39,1727560
2012-12-17,916.04,933.79,916.04,926.04,1759562
2012-12-18,925.97,936.04,920.66,926.93,1187290
2012-12-19,928.32,935.45,925.97,932.49,1207567
2012-12-20,930.26,936.99,920.72,933.17,1216865
2012-12-21,933.14,946.51,927.82,935.35,1195145
2012-12-24,933.83,943.12,933.30,937.91,851278
2012-12-25,937.35,968.71,933.10,964.13,1765626
2012-12-26,964.92,976.62,962.41,976.62,1367725
2012-12-27,979.64,987.73,966.39,968.88,1302957
2012-12-28,967.46,984.01,965.77,983.60,1330567
2012-12-31,983.50,990.75,977.10,989.15,1829626
2013-01-04,995.01,1016.84,977.51,1011.47,2420110
2013-01-07,1006.98,1036.24,1002.57,1033.66,2778014
2013-01-08,1031.43,1035.55,1017.23,1030.65,1616796
2013-01-09,1028.22,1030.12,1013.63,1020.69,1616801
2013-01-10,1019.81,1037.62,1018.06,1030.33,1460610
2013-01-11,1029.83,1032.53,997.89,1000.09,1621959
2013-01-14,995.94,1031.89,994.39,1030.25,1697676
2013-01-15,1035.63,1058.30,1030.77,1051.03,2736188
2013-01-16,1047.57,1052.41,1030.87,1046.91,1915702
2013-01-17,1046.62,1046.62,1022.40,1028.62,1604730
2013-01-18,1029.08,1042.43,1021.92,1040.55,1460372
2013-01-21,1044.22,1050.79,1035.88,1050.79,1617462
2013-01-22,1051.13,1060.12,1032.20,1038.62,2039690
2013-01-23,1036.22,1041.09,1027.06,1041.09,1638896
2013-01-24,1045.08,1045.08,1002.51,1008.93,2072476
2013-01-25,1008.39,1011.45,998.66,1003.51,1140818
2013-01-28,1003.51,1024.73,1003.51,1023.84,1521759
2013-01-29,1023.76,1024.36,1014.59,1019.05,1585138
2013-01-30,1020.41,1031.68,1017.05,1029.11,1340828
2013-01-31,1034.99,1038.48,1022.01,1028.98,1835681
2013-02-01,1025.32,1039.64,1023.92,1037.07,1546448
2013-02-04,1036.09,1044.41,1034.92,1038.31,1836088
2013-02-05,1037.93,1043.89,1026.72,1043.16,1351854
2013-02-06,1045.16,1056.11,1045.16,1050.40,1391451
2013-02-07,1051.61,1054.54,1040.31,1053.19,1162425
2013-02-08,1054.00,1074.20,1053.82,1070.70,1424399
2013-02-18,1072.83,1074.46,1048.17,1054.72,1969442
2013-02-19,1053.72,1057.37,1031.47,1034.60,1693376
2013-02-20,1038.61,1059.35,1038.61,1059.35,1526793
2013-02-21,1055.70,1058.97,1039.79,1045.57,1613097
2013-02-22,1047.42,1057.11,1038.84,1048.72,1228520
2013-02-25,1048.19,1058.36,1043.79,1050.22,1139302
2013-02-26,1045.62,1045.66,1022.45,1026.02,1466912
2013-02-27,1026.07,1032.79,1019.89,1024.54,1070690
2013-02-28,1023.41,1037.17,1017.61,1035.39,1415285
2013-03-01,1034.10,1038.56,1028.38,1036.22,1284342
2013-03-04,1027.93,1032.39,998.47,1005.60,1455241
2013-03-05,1006.09,1014.73,998.57,1013.93,1111909
2013-03-06,1015.55,1042.33,1015.54,1039.63,1788101
2013-03-07,1037.31,1041.64,1022.05,1029.54,1604505
2013-03-08,1033.60,1040.04,1023.73,1026.13,1000874
2013-03-11,1025.36,1026.04,1015.41,1017.36,1078311
2013-03-12,1017.58,1022.21,982.42,996.55,1271366
2013-03-13,993.09,993.43,971.00,982.86,1130853
2013-03-14,979.14,994.44,978.63,989.61,727843
2013-03-15,990.54,1003.74,980.25,987.34,963280
2013-03-18,989.19,993.13,977.79,982.26,868686
2013-03-19,984.34,988.40,977.72,988.40,900230
2013-03-20,989.28,1009.20,986.08,1009.00,1185848
2013-03-21,1009.15,1016.83,1005.25,1014.71,848751
2013-03-22,1014.24,1031.52,1013.82,1028.23,1564850
2013-03-25,1030.58,1032.03,1019.90,1022.61,902873
2013-03-26,1019.66,1019.66,1000.88,1010.87,870620
