Date,Open,High,Low,Close,Vol
2005-06-07,159.89,164.31,157.22,158.69,489895
2005-06-08,161.49,172.46,158.01,171.85,1081870
2005-06-09,172.83,178.72,170.53,174.84,1191604
2005-06-10,174.27,174.79,166.32,167.89,776514
2005-06-13,167.81,169.69,162.79,166.35,496485
2005-06-14,166.55,168.67,162.74,163.62,457351
2005-06-15,162.76,163.45,157.49,158.80,439066
2005-06-16,158.63,161.53,156.69,161.01,341068
2005-06-17,161.78,164.34,157.86,160.18,494652
2005-06-20,160.98,168.23,158.16,167.53,674451
2005-06-21,168.62,170.85,165.56,167.09,608818
2005-06-22,168.14,169.28,161.69,164.52,1134110
2005-06-23,163.70,167.31,161.63,164.71,691543
2005-06-24,163.97,165.97,162.46,165.00,528461
2005-06-27,166.03,170.68,165.78,168.57,705237
2005-06-28,167.72,168.19,163.98,165.12,684827
2005-06-29,164.80,168.40,163.15,165.89,594037
2005-06-30,165.35,165.85,160.23,160.97,596838
2005-07-01,160.12,160.57,154.01,155.11,574042
2005-07-04,153.98,155.85,149.31,154.34,473530
2005-07-05,153.61,154.75,150.24,151.46,413215
2005-07-06,151.56,153.72,148.31,149.98,466013
2005-07-07,150.28,152.48,148.88,151.31,443749
2005-07-08,150.71,151.00,145.52,146.49,422946
2005-07-11,147.47,151.31,137.53,138.40,673504
2005-07-12,137.67,143.58,134.84,142.05,771820
2005-07-13,141.72,144.60,138.87,141.89,599398
2005-07-14,141.78,144.56,140.16,142.73,426593
2005-07-15,142.55,144.78,140.19,141.89,463174
2005-07-18,141.29,143.02,137.25,139.41,531474
2005-07-19,139.27,142.33,137.97,140.83,448978
2005-07-20,140.72,143.71,139.24,142.95,409518
2005-07-21,143.11,144.68,140.57,143.18,438873
2005-07-22,143.22,147.06,140.81,144.66,753591
2005-07-25,144.37,146.32,141.41,143.75,586747
2005-07-26,145.60,151.58,144.62,149.94,1155820
2005-07-27,149.55,157.59,148.07,156.96,1444605
2005-07-28,157.50,160.39,154.56,156.54,1676457
2005-07-29,156.05,158.82,153.78,156.07,819879
2005-08-01,156.22,160.06,155.36,158.58,738681
2005-08-02,158.96,161.29,156.99,160.81,759772
2005-08-03,161.12,167.15,160.17,163.54,1606878
2005-08-04,163.18,166.27,161.20,163.13,960107
2005-08-05,163.14,170.09,162.32,169.38,1309861
2005-08-08,169.92,172.16,168.14,169.90,927059
2005-08-09,169.98,172.08,166.24,170.57,1112870
2005-08-10,170.76,173.92,167.92,172.11,1129056
2005-08-11,172.14,177.09,170.75,175.40,1460238
2005-08-12,175.65,177.66,170.07,172.13,1270911
2005-08-15,171.62,175.94,170.29,175.06,906089
2005-08-16,175.24,176.66,170.15,171.41,938203
2005-08-17,170.74,172.66,166.16,171.17,1066348
2005-08-18,171.23,173.66,164.36,165.11,1302520
2005-08-19,164.85,168.44,162.28,165.84,959961
2005-08-22,165.38,168.37,162.89,167.32,611697
2005-08-23,167.17,168.52,162.93,165.11,611649
2005-08-24,165.16,168.59,163.91,167.02,723192
2005-08-25,166.95,168.38,161.93,164.24,860568
2005-08-26,164.13,164.83,159.04,161.26,715743
2005-08-29,160.40,161.17,155.93,157.58,760370
2005-08-30,156.83,161.62,155.50,158.93,707947
2005-08-31,158.88,161.97,157.01,161.45,557395
2005-09-01,161.71,165.27,160.32,164.50,851387
2005-09-02,164.99,166.10,162.49,164.74,736751
2005-09-05,165.16,169.61,163.97,168.20,826031
2005-09-06,168.60,170.60,164.51,165.67,1103618
2005-09-07,165.43,170.40,164.43,169.95,884198
2005-09-08,170.57,175.37,168.84,173.28,1470701
2005-09-09,172.39,174.02,168.93,170.63,959551
2005-09-12,170.47,171.85,168.50,170.36,462413
2005-09-13,170.54,174.02,169.67,173.52,857507
2005-09-14,174.18,175.91,172.59,175.02,890140
2005-09-15,175.01,177.15,173.36,175.84,853601
2005-09-16,175.85,178.08,174.28,176.33,755583
2005-09-19,176.55,178.57,175.37,177.79,726773
2005-09-20,177.80,180.50,174.68,176.68,1093255
2005-09-21,176.42,177.72,172.84,174.06,909376
2005-09-22,173.49,174.47,168.00,169.87,745020
2005-09-23,168.75,170.61,165.08,167.03,552334
2005-09-26,167.16,170.20,166.17,168.95,455526
2005-09-27,169.22,170.38,164.77,165.96,456132
2005-09-28,165.82,167.69,164.00,164.87,280290
2005-09-29,164.68,168.35,163.61,166.70,413368
2005-09-30,166.94,169.15,165.29,167.63,345751
2005-10-10,167.15,169.58,164.81,166.68,306158
2005-10-11,166.19,169.72,165.41,169.33,379504
