Date,Open,High,Low,Close,Vol
1990-12-19,96.05,99.98,95.79,99.98,1260
1990-12-20,104.30,104.39,99.98,104.39,197
1990-12-21,109.07,109.13,103.73,109.13,28
1990-12-24,113.57,114.55,109.13,114.55,32
1990-12-25,120.09,120.25,114.55,120.25,15
1990-12-26,125.27,125.27,120.25,125.27,100
1990-12-27,125.27,125.28,125.27,125.28,66
1990-12-28,126.39,126.45,125.28,126.45,108
1990-12-31,126.56,127.61,126.48,127.61,78
1991-01-02,127.61,128.84,127.61,128.84,91
1991-01-03,128.84,130.14,128.84,130.14,141
1991-01-04,131.27,131.44,130.14,131.44,420
1991-01-07,131.99,132.06,131.45,132.06,217
1991-01-08,132.62,132.68,132.06,132.68,2926
1991-01-09,133.30,133.34,132.68,133.34,5603
1991-01-10,133.93,133.97,133.34,133.97,9990
1991-01-11,134.61,134.61,134.51,134.60,13327
1991-01-14,134.11,135.19,134.11,134.67,12530
1991-01-15,134.21,134.74,134.19,134.74,1446
1991-01-16,134.19,134.74,134.14,134.24,509
1991-01-17,133.67,134.25,133.65,134.25,658
1991-01-18,133.70,134.25,133.67,134.24,3004
1991-01-21,133.70,134.24,133.66,134.24,2051
1991-01-22,133.72,134.24,133.66,133.72,354
1991-01-23,133.17,133.72,133.14,133.17,1095
1991-01-24,132.61,133.17,132.57,132.61,1857
1991-01-25,132.05,132.07,132.03,132.05,3447
1991-01-28,131.46,131.55,131.46,131.46,5107
1991-01-29,130.95,130.97,130.95,130.95,1387
1991-01-30,130.44,130.95,130.41,130.44,527
1991-01-31,129.93,130.46,129.93,129.97,510
1991-02-01,129.50,129.97,129.45,129.51,345
1991-02-04,129.05,129.58,129.05,129.05,553
1991-02-05,128.56,128.58,128.53,128.58,8562
1991-02-06,129.13,129.15,128.06,129.14,6641
1991-02-07,129.74,129.79,129.14,129.79,2133
1991-02-08,130.36,130.39,129.79,130.38,1234
1991-02-11,130.92,130.97,130.39,130.97,9317
1991-02-12,131.54,131.56,130.97,131.35,3774
1991-02-13,131.93,131.93,131.35,131.92,1152
1991-02-14,132.53,132.53,132.30,132.53,3624
1991-02-19,133.12,133.14,133.08,133.13,1748
1991-02-20,133.63,133.67,133.13,133.67,876
1991-02-21,134.24,134.28,133.67,134.28,3220
1991-02-22,134.85,134.87,134.28,134.87,3427
1991-02-25,134.37,134.87,134.33,134.40,810
1991-02-26,133.90,134.44,133.90,133.93,1094
1991-02-27,133.44,133.98,133.44,133.47,214
1991-02-28,132.99,133.52,132.98,133.01,2258
1991-03-01,132.53,132.53,132.47,132.53,7124
1991-03-04,132.09,132.09,131.98,131.99,2518
1991-03-05,131.42,131.99,131.41,131.46,982
1991-03-06,130.89,130.95,130.89,130.94,719
1991-03-07,130.41,130.94,130.41,130.41,568
1991-03-08,129.84,130.41,129.84,129.89,933
1991-03-11,129.30,129.89,129.30,129.31,514
1991-03-12,128.73,129.31,128.73,128.77,957
1991-03-13,126.13,128.77,126.13,126.15,498
1991-03-14,125.61,126.15,125.61,125.63,326
1991-03-15,125.08,125.62,125.08,125.17,790
1991-03-18,124.70,125.17,124.69,124.71,1250
1991-03-19,124.23,124.71,124.22,124.22,892
1991-03-20,123.66,124.21,123.63,123.66,678
1991-03-21,123.14,123.66,123.12,123.12,151
1991-03-22,122.62,123.12,122.62,122.62,207
1991-03-25,122.12,122.62,122.10,122.12,443
1991-03-26,121.62,122.14,121.62,121.62,1164
1991-03-27,121.12,121.64,121.12,121.12,668
1991-03-28,120.65,121.15,120.61,120.61,961
1991-03-29,120.16,120.61,120.11,120.19,2185
1991-04-01,120.69,120.73,119.68,120.73,11999
1991-04-02,121.21,121.29,120.73,121.21,816
1991-04-03,121.71,121.71,121.21,121.71,2063
1991-04-04,122.20,122.20,121.24,121.72,10517
1991-04-05,121.07,121.73,121.03,121.54,11589
1991-04-08,121.11,121.11,121.05,121.09,1862
1991-04-09,120.60,121.10,120.60,120.62,320
1991-04-10,120.15,120.62,120.09,120.16,466
1991-04-11,119.64,120.16,119.62,119.64,239
1991-04-12,119.20,119.65,119.15,119.21,399
1991-04-15,118.73,119.22,118.72,118.77,301
1991-04-16,118.36,118.77,118.34,118.34,105
1991-04-17,117.92,118.34,117.89,117.90,201
1991-04-18,117.45,117.93,117.45,117.45,178
1991-04-19,117.08,117.50,117.05,117.08,646
1991-04-22,116.63,117.08,116.58,116.63,430
1991-04-23,116.21,116.63,116.15,116.19,282
1991-04-24,115.70,116.19,115.70,115.79,148
1991-04-25,115.38,115.79,115.33,115.36,1495
1991-04-26,116.31,116.31,114.52,115.56,13354
1991-04-29,114.86,116.29,114.75,114.75,8411
1991-04-30,113.89,114.87,113.89,113.94,4850
1991-05-02,113.04,113.20,113.03,113.16,1465
1991-05-03,112.46,113.17,112.30,112.41,4230
1991-05-06,111.65,112.41,111.57,111.61,2764
1991-05-07,110.80,110.90,110.80,110.82,1875
1991-05-08,110.16,110.82,110.00,110.03,423
1991-05-09,109.36,110.12,109.29,109.29,2266
1991-05-10,108.61,109.40,108.53,108.53,249
1991-05-13,107.88,107.88,107.74,107.84,235
1991-05-14,107.21,107.84,107.06,107.19,267
1991-05-15,106.56,106.60,106.42,106.57,390
1991-05-16,105.83,105.86,105.69,105.77,3108
1991-05-17,105.12,106.75,104.96,106.75,20192
1991-05-20,107.76,107.82,106.71,107.82,863
1991-05-21,108.89,108.89,108.62,108.81,771
1991-05-22,109.71,109.82,108.11,108.25,18677
1991-05-23,107.52,109.16,107.35,109.08,5609
1991-05-24,110.07,110.08,109.82,110.08,1024
1991-05-27,111.05,111.07,109.47,110.66,8619
1991-05-28,111.61,111.68,111.36,111.68,1630
1991-05-29,112.75,112.75,111.67,112.75,530
1991-05-30,113.74,113.82,112.77,113.82,388
1991-05-31,114.83,114.83,113.84,114.83,1211
1991-06-03,115.90,115.97,114.89,115.97,954
1991-06-04,117.12,117.12,116.83,117.12,3603
1991-06-05,118.17,118.17,117.14,118.17,308
1991-06-06,119.26,119.35,118.17,119.35,266
1991-06-07,120.46,120.47,119.35,120.47,100
1991-06-10,121.65,121.67,120.47,121.67,400
1991-06-11,122.89,122.89,121.67,122.89,543
1991-06-12,123.90,124.11,122.89,124.11,1372
1991-06-13,125.33,125.34,123.65,125.34,20868
1991-06-14,124.47,126.34,124.47,124.53,6633
1991-06-17,125.63,125.77,123.54,125.77,6933
1991-06-18,127.03,127.03,126.67,127.03,2030
1991-06-19,128.12,128.29,127.03,128.29,1481
1991-06-20,129.55,129.57,129.21,129.57,2299
1991-06-21,130.72,130.86,128.81,130.86,13613
1991-06-24,132.10,132.17,131.80,132.17,1960
1991-06-25,133.48,133.49,132.17,133.49,1624
1991-06-26,134.83,134.83,133.49,134.83,3409
1991-06-27,136.04,136.19,134.83,136.19,4497
1991-06-28,137.41,137.56,136.19,137.56,4935
